Mantel Results for GGD (2) vs Phiptp,,,,
,,,,
X Matrix,GGD (2),,,
Y Matrix,Phiptp,,,
Data Title,,,,
,,,,
No. Samples,53,No. in Matrix,1378,
No. Permutations,99,,,
,,,,
SSx,SSy,SPxy,Rxy,P(rxy-rand >= rxy-data)
1194133.169,1194133.169,1194133.169,1.000,0.010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
17.357,17.357,,28,39
17.414,17.414,,29,39
20.893,20.893,,30,39
24.192,24.192,,31,39
24.192,24.192,,32,39
24.192,24.192,,33,39
20.012,20.012,,34,39
13.647,13.647,,35,39
11.800,11.800,,36,39
11.800,11.800,,37,39
11.800,11.800,,38,39
77.770,77.770,,1,40
72.432,72.432,,2,40
66.221,66.221,,3,40
59.718,59.718,,4,40
66.115,66.115,,5,40
64.778,64.778,,6,40
67.618,67.618,,7,40
63.531,63.531,,8,40
64.624,64.624,,9,40
76.236,76.236,,10,40
76.236,76.236,,11,40
76.236,76.236,,12,40
76.236,76.236,,13,40
77.000,77.000,,14,40
63.500,63.500,,15,40
59.114,59.114,,16,40
58.577,58.577,,17,40
35.725,35.725,,18,40
33.155,33.155,,19,40
26.519,26.519,,20,40
14.841,14.841,,21,40
10.000,10.000,,22,40
11.662,11.662,,23,40
16.155,16.155,,24,40
14.036,14.036,,25,40
14.036,14.036,,26,40
14.036,14.036,,27,40
17.671,17.671,,28,40
16.919,16.919,,29,40
18.722,18.722,,30,40
21.708,21.708,,31,40
21.708,21.708,,32,40
21.708,21.708,,33,40
17.219,17.219,,34,40
9.552,9.552,,35,40
11.413,11.413,,36,40
11.413,11.413,,37,40
11.413,11.413,,38,40
5.000,5.000,,39,40
83.024,83.024,,1,41
77.680,77.680,,2,41
71.386,71.386,,3,41
64.938,64.938,,4,41
71.449,71.449,,5,41
70.178,70.178,,6,41
73.062,73.062,,7,41
69.007,69.007,,8,41
70.064,70.064,,9,41
81.653,81.653,,10,41
81.653,81.653,,11,41
81.653,81.653,,12,41
81.653,81.653,,13,41
82.506,82.506,,14,41
69.007,69.007,,15,41
64.701,64.701,,16,41
64.125,64.125,,17,41
41.110,41.110,,18,41
37.947,37.947,,19,41
32.000,32.000,,20,41
20.125,20.125,,21,41
14.603,14.603,,22,41
14.603,14.603,,23,41
18.118,18.118,,24,41
14.534,14.534,,25,41
14.534,14.534,,26,41
14.534,14.534,,27,41
15.133,15.133,,28,41
13.601,13.601,,29,41
13.793,13.793,,30,41
16.508,16.508,,31,41
16.508,16.508,,32,41
16.508,16.508,,33,41
11.927,11.927,,34,41
4.000,4.000,,35,41
9.000,9.000,,36,41
9.000,9.000,,37,41
9.000,9.000,,38,41
9.708,9.708,,39,41
5.590,5.590,,40,41
83.024,83.024,,1,42
77.680,77.680,,2,42
71.386,71.386,,3,42
64.938,64.938,,4,42
71.449,71.449,,5,42
70.178,70.178,,6,42
73.062,73.062,,7,42
69.007,69.007,,8,42
70.064,70.064,,9,42
81.653,81.653,,10,42
81.653,81.653,,11,42
81.653,81.653,,12,42
81.653,81.653,,13,42
82.506,82.506,,14,42
69.007,69.007,,15,42
64.701,64.701,,16,42
64.125,64.125,,17,42
41.110,41.110,,18,42
37.947,37.947,,19,42
32.000,32.000,,20,42
20.125,20.125,,21,42
14.603,14.603,,22,42
14.603,14.603,,23,42
18.118,18.118,,24,42
14.534,14.534,,25,42
14.534,14.534,,26,42
14.534,14.534,,27,42
15.133,15.133,,28,42
13.601,13.601,,29,42
13.793,13.793,,30,42
16.508,16.508,,31,42
16.508,16.508,,32,42
16.508,16.508,,33,42
11.927,11.927,,34,42
4.000,4.000,,35,42
9.000,9.000,,36,42
9.000,9.000,,37,42
9.000,9.000,,38,42
9.708,9.708,,39,42
5.590,5.590,,40,42
0.000,0.000,,41,42
92.542,92.542,,1,43
87.197,87.197,,2,43
80.753,80.753,,3,43
74.431,74.431,,4,43
81.154,81.154,,5,43
80.025,80.025,,6,43
83.000,83.000,,7,43
79.025,79.025,,8,43
80.000,80.000,,9,43
91.522,91.522,,10,43
91.522,91.522,,11,43
91.522,91.522,,12,43
91.522,91.522,,13,43
92.586,92.586,,14,43
79.101,79.101,,15,43
75.048,75.048,,16,43
74.330,74.330,,17,43
51.000,51.000,,18,43
46.872,46.872,,19,43
42.107,42.107,,20,43
30.463,30.463,,21,43
24.622,24.622,,22,43
22.322,22.322,,23,43
24.151,24.151,,24,43
19.294,19.294,,25,43
19.294,19.294,,26,43
19.294,19.294,,27,43
14.422,14.422,,28,43
11.662,11.662,,29,43
6.500,6.500,,30,43
7.382,7.382,,31,43
7.382,7.382,,32,43
7.382,7.382,,33,43
3.500,3.500,,34,43
6.708,6.708,,35,43
11.662,11.662,,36,43
11.662,11.662,,37,43
11.662,11.662,,38,43
19.526,19.526,,39,43
16.008,16.008,,40,43
10.440,10.440,,41,43
10.440,10.440,,42,43
90.796,90.796,,1,44
85.450,85.450,,2,44
79.076,79.076,,3,44
72.691,72.691,,4,44
79.310,79.310,,5,44
78.102,78.102,,6,44
81.025,81.025,,7,44
77.000,77.000,,8,44
78.026,78.026,,9,44
89.589,89.589,,10,44
89.589,89.589,,11,44
89.589,89.589,,12,44
89.589,89.589,,13,44
90.522,90.522,,14,44
77.026,77.026,,15,44
72.762,72.762,,16,44
72.173,72.173,,17,44
49.041,49.041,,18,44
45.354,45.354,,19,44
40.012,40.012,,20,44
27.857,27.857,,21,44
21.915,21.915,,22,44
21.077,21.077,,23,44
23.436,23.436,,24,44
18.822,18.822,,25,44
18.822,18.822,,26,44
18.822,18.822,,27,44
15.232,15.232,,28,44
12.649,12.649,,29,44
8.732,8.732,,30,44
10.124,10.124,,31,44
10.124,10.124,,32,44
10.124,10.124,,33,44
5.852,5.852,,34,44
4.123,4.123,,35,44
11.314,11.314,,36,44
11.314,11.314,,37,44
11.314,11.314,,38,44
